city_id,h3_index,date,temp_mean_c,dewpoint_mean_c,precip_sum_mm,wind_speed,radiation,soil_moisture,ndvi,lst_c,pm25,built_up_fraction,road_density_km_km2,building_density,building_fp_fraction,green_space_fraction,bpl_pct,slum_pct,elderly_pct,literacy_pct,number,latitude,longitude,heat_stress_idx,water_stress_idx,pollution_idx,vegetation_idx,urban_vulnerability_idx
mumbai,88608b0105fffff,2020-01-01,23.84560969485204,18.273356946003574,0.2085183998827638,3.311268296835016,36.18591348042792,0.024289291727442465,0.0034397973,30.01,63.42936,0.4611263,14.488454323207327,116.66720593572077,0.07643424218614826,0.029219520132787682,0.18,0.413,0.09,0.892,0,18.97068155586003,72.80255980013344,0.0,0.7738722338611086,0.40004382,0.0,0.06631529306467858
mumbai,88608b0105fffff,2020-02-01,25.358831456486477,19.117599403130992,5.3918782669878954e-05,2.907193337876589,42.692228708858586,0.023698591541909442,-0.00484313,32.035,59.585155,0.4611263,14.488454323207327,116.66720593572077,0.07643424218614826,0.029219520132787682,0.18,0.413,0.09,0.892,0,18.97068155586003,72.80255980013344,0.0,1.0,0.36142373,0.0,0.06631529306467858
mumbai,88608b0105fffff,2020-03-01,26.06241784775326,20.200579920008916,0.05354021222123891,2.8978431652565497,48.09543162123804,0.02303862833898618,0.041263208,35.19,46.130444,0.4611263,14.488454323207327,116.66720593572077,0.07643424218614826,0.029219520132787682,0.18,0.413,0.09,0.892,0,18.97068155586003,72.80255980013344,0.0,1.0,0.22625344,0.0,0.06631529306467858
mumbai,88608b0105fffff,2020-04-01,28.37487586165013,24.299957005090008,0.08237078295820377,2.428691142826139,51.38606608724378,0.023189505955742058,0.05737262,37.38,32.67573,0.4611263,14.488454323207327,116.66720593572077,0.07643424218614826,0.029219520132787682,0.18,0.413,0.09,0.892,0,18.97068155586003,72.80255980013344,0.3763116671874789,1.0,0.17812712,0.0,0.06631529306467858
mumbai,88608b0105fffff,2020-05-01,29.262320246637675,25.428848085870538,0.8980535189660047,3.5112139405560274,49.47668303501241,0.022072676561143943,0.06822294,36.8,30.753632,0.4611263,14.488454323207327,116.66720593572077,0.07643424218614826,0.029219520132787682,0.18,0.413,0.09,0.892,0,18.97068155586003,72.80255980013344,0.3821429890306041,1.0,0.17812721,0.0,0.06631529306467858
mumbai,88608b0105fffff,2020-06-01,27.76799072766599,25.23135099884132,66.9142599627136,3.6200708509319868,28.978249746890796,0.04788828793948558,0.11872504,32.13,26.909424,0.4611263,14.488454323207327,116.66720593572077,0.07643424218614826,0.029219520132787682,0.18,0.413,0.09,0.892,0,18.97068155586003,72.80255980013344,0.0,1.0,0.17812712,0.0,0.06631529306467858
mumbai,88608b0105fffff,2020-07-01,27.24656033012975,25.108824124169107,125.72774291086087,4.86456649084508,26.675082282797955,0.051638042840311385,,31.995,23.065222,0.4611263,14.488454323207327,116.66720593572077,0.07643424218614826,0.029219520132787682,0.18,0.413,0.09,0.892,0,18.97068155586003,72.80255980013344,0.35139478459039303,1.0,0.17812723,0.0,0.06631529306467858
mumbai,88608b0105fffff,2020-08-01,26.737353675852134,24.776763044524373,177.27848143692893,6.910147201630809,20.526475708018108,0.05305731417956016,,34.88,24.987322,0.4611263,14.488454323207327,116.66720593572077,0.07643424218614826,0.029219520132787682,0.18,0.413,0.09,0.892,0,18.97068155586003,72.80255980013344,0.27297915093456643,1.0,0.17812718,0.0,0.06631529306467858
mumbai,88608b0105fffff,2020-09-01,27.344425785261482,24.56597929502647,92.25483572120447,1.7009066268972832,30.602037006052743,0.050483856317106696,0.08244993,32.21,28.83153,0.4611263,14.488454323207327,116.66720593572077,0.07643424218614826,0.029219520132787682,0.18,0.413,0.09,0.892,0,18.97068155586003,72.80255980013344,0.126247741992614,1.0,0.17812718,0.0,0.06631529306467858
mumbai,88608b0105fffff,2020-10-01,27.94160590633315,24.347066544506728,19.65166183982685,0.4715362342718177,31.381282043803896,0.04402538117630538,0.027558979,31.95,42.286247,0.4611263,14.488454323207327,116.66720593572077,0.07643424218614826,0.029219520132787682,0.18,0.413,0.09,0.892,0,18.97068155586003,72.80255980013344,0.0,1.0,0.18763338,0.0,0.06631529306467858
mumbai,88608b0105fffff,2020-11-01,27.397357228366722,21.08391743592054,0.06305649012148162,2.725707801708988,34.739469176487354,0.028103441810793682,0.0,33.71,55.740948,0.4611263,14.488454323207327,116.66720593572077,0.07643424218614826,0.029219520132787682,0.18,0.413,0.09,0.892,0,18.97068155586003,72.80255980013344,0.2782753543358786,1.0,0.32280353,0.0,0.06631529306467858
mumbai,88608b0105fffff,2020-12-01,25.7682248800184,19.74348071511417,1.3419244915155248,2.8763519777074937,32.598525507422266,0.024528331498956148,0.031362165,31.065,65.35146,0.4611263,14.488454323207327,116.66720593572077,0.07643424218614826,0.029219520132787682,0.18,0.413,0.09,0.892,0,18.97068155586003,72.80255980013344,0.0,1.0,0.41935387,0.0,0.06631529306467858
mumbai,88608b0105fffff,2021-01-01,24.90457978548993,19.528902929606634,0.2206148945289411,3.6155462409618346,35.406036526152256,0.023908555685779483,0.000380431,30.465,48.046333,0.4611263,14.488454323207327,116.66720593572077,0.07643424218614826,0.029219520132787682,0.18,0.413,0.09,0.892,0,18.97068155586003,72.80255980013344,0.3636330131998417,1.0,0.067373864,0.015941655,0.06631529306467858
mumbai,88608b0105fffff,2021-02-01,25.56409393631344,19.118125040594837,0.0011489810739325648,2.6623515648073597,42.79144128786678,0.0239108165544191,0.014338075,33.0,45.13443,0.4611263,14.488454323207327,116.66720593572077,0.07643424218614826,0.029219520132787682,0.18,0.413,0.09,0.892,0,18.97068155586003,72.80255980013344,0.3503456832794864,1.0,0.03811992,0.0,0.06631529306467858
