h3_index,date,city_id,temp_mean_c,dewpoint_mean_c,precip_sum_mm,wind_speed,radiation,soil_moisture,ndvi,lst_c,pm25,built_up_fraction,road_density_km_km2,building_density,building_fp_fraction,green_space_fraction,bpl_pct,slum_pct,elderly_pct,literacy_pct,heat_stress_idx,water_stress_idx,pollution_idx,vegetation_idx,urban_vulnerability_idx
8860884001fffff,2024-01-01,pune,21.39148896911207,13.582532659477334,10.95792393006304,7.5051006557082385,235.8591181535837,0.19007095653763503,0.35866170936464037,23.432051601335132,38.30351869740216,0.3582417260328467,5.6934432970470095,403.11420862432215,0.24562105531395634,0.4443188306326449,0.20967990326464403,0.26940630967519574,0.07946540930477516,0.888166400248448,0.0,0.0,0.0,0.0,0.0
8860884001fffff,2024-02-01,pune,25.12786731294329,17.376464263914286,6.614343917990677,1.345447035701009,259.9298306557636,0.06231728362414343,0.3077246294149454,28.179337266838147,39.3509197561741,0.5362504315179004,3.2508980642257796,618.543728450765,0.6773165040024521,0.22696741494289685,0.1574729566135744,0.25757317254403683,0.1206100232877965,0.9342683828108541,0.0,0.0,0.0,0.0,1.0951975388600927
8860884003fffff,2024-01-01,pune,20.941574558436088,13.61033084656236,22.336822243791154,0.5,182.35963013199844,0.1517393687520158,0.27416460615917126,28.706600072491923,44.462757015427336,0.14253524471475476,5.089558125222425,93.88109697007138,0.3235431652634294,0.14463749204691584,0.135448646750358,0.2405548216299931,0.1021699529952311,0.9509498404210318,0.0,0.0,0.0,0.0,0.0
8860884003fffff,2024-02-01,pune,24.446630480082867,16.54091152376089,2.829070196650628,3.9848393431478923,269.7749429109642,0.09532533984009828,0.2727815141442323,29.133457956380155,53.04052041652892,0.34866673156046857,5.018617178232644,623.5829170477775,0.22272034891888698,0.14290749189595844,0.13327286702467595,0.2551885705795456,0.14222857269803627,0.8802127898678743,0.0,0.0,0.36657791409141366,0.0,0.0
8860884009fffff,2024-01-01,pune,20.6439169755755,15.602966998464451,2.7033646757123164,1.840601538141637,214.32533423202202,0.19517566968731187,0.2940203558439634,23.293663399233015,43.16641330445696,0.16791252368834597,3.4873449401728918,97.96368608333422,0.8181246074095472,0.04304573622489018,0.13904977812736247,0.3153542441574308,0.106923520218932,0.8830342037155697,0.0,0.0,0.0,0.0,1.567621781150383
8860884009fffff,2024-02-01,pune,21.05598200635554,9.805683648719247,6.544034765225137,1.3226234122646576,276.9183163819258,0.12259275141158417,0.28796319469878534,26.068063705980705,60.02554450215544,0.5707481506525596,10.240074932163802,53.04704314457847,0.1598028412210834,0.22067741510121755,0.09582765680310709,0.2730028606497767,0.09447347428402468,0.9080656957460378,0.0,0.0,0.9217947530218514,0.0,0.0
886088400bfffff,2024-01-01,pune,21.602878445239117,12.858773286269436,6.685836154675738,3.1571850658534726,186.6953823511663,0.1612850774977086,0.3781790193212382,28.66645452478797,42.816637920698525,0.20979149557288165,1.6452059714921714,12.868257214825647,0.5814540830377565,0.08064963962612959,0.1761602104670263,0.26080651439871205,0.11856335645869406,0.9115449856168372,0.0,0.0,0.0,0.0,0.36886358668867647
886088400bfffff,2024-02-01,pune,24.650254865802502,12.903770398087579,8.432663417832249,2.6709648264504082,223.35552919390756,0.1292985349757091,0.3863880820549321,32.43164690847049,60.75696980598675,0.9123802409906828,17.23615487076839,248.6690640330027,0.10698733233073024,0.3165403805245102,0.08219200434644229,0.30499386903771697,0.08504158665407865,0.8471641486289595,0.0,0.0,0.9799333707458199,0.0,0.0
886088400dfffff,2024-01-01,pune,21.650387749397506,12.72456995019013,0.03447095928485558,0.5331780004024252,186.86810135540168,0.1736067843986954,0.3327980229551266,28.0921568129582,43.71938582984778,0.23904195566510644,4.014669679795781,610.9125458905175,0.436609059468133,0.11888718916409506,0.14292945679205116,0.3073219274789907,0.09056876974519945,0.869260577319231,0.0,0.0,0.0,0.0,0.49714911676714596
886088400dfffff,2024-02-01,pune,22.618784817307215,14.585222316456738,9.203872006181788,2.6596522519434127,246.18846908881645,0.10864537396420845,0.34689644376783657,27.15625449946973,46.35432185502859,0.1467443260570248,5.636399050432577,388.8306083971605,0.24917187839640748,0.0634100266985809,0.13988452733046053,0.22157259275889696,0.08565360318510741,0.9012589433631059,0.0,0.0,0.0,0.0,0.0
